# BATCH A ts1 jobs=27
# label,policy,opp,tier,outcome,elapsed,pDealt,pTaken,pParts,pHp,pStruct,eDealt,eTaken,eParts,eHp,eStruct,pFlatS,pLowS,pStrainS,pMinFrac,pKJ,eFlatS,eMinFrac,eKJ,pMass,eMass,pMaxHp,eMaxHp,spinT,avgThr,cause
SPIN_ALU,afk,scout,Rookie,PlayerWin,60.7,183,25,10/10,0.98,1.00,25,183,9/11,0.77,0.82,0.0,0.0,0.0,0.95,14,0.0,0.77,69,1575,406,1216,652,0.90,0.00,"Enemy counted out — beached — 0 of 4 wheels touching the ground, so the drive had nothing to push on"
SPIN_ALU,afk,widowmaker,Champion,PlayerWin,90.1,295,165,10/10,0.86,1.00,165,295,9/11,0.75,0.82,0.0,0.0,0.0,0.93,21,0.0,0.27,239,1575,587,1216,1301,0.90,0.00,"Judges' decision — damage 295 vs 165 (44.1% margin) · pieces 10/10 vs 9/11 — decided on damage"
SPIN_ALU,charge,mauler,Veteran,PlayerLoss,85.4,384,150,9/10,0.87,0.90,150,384,10/11,0.64,0.91,20.1,33.3,0.0,0.00,300,0.0,0.51,146,1575,694,1216,864,0.90,0.79,"Counted out — out of power — all 300 kJ spent in 76 s; carry more battery, or spend less on driving and spinning"
SPIN_ALU,charge,scout,Rookie,PlayerWin,81.3,153,40,9/10,0.98,0.90,40,153,8/11,0.66,0.73,13.2,26.4,0.0,0.00,300,0.0,0.60,83,1575,406,1216,652,0.90,0.76,"Enemy counted out — flipped onto its back — its gyro had already been sheared off, leaving only the slow emergency struts"
SPIN_ALU,charge,widowmaker,Champion,PlayerLoss,28.4,207,839,0/10,0.00,0.00,839,207,10/11,0.83,0.91,0.0,0.0,0.0,0.60,130,0.0,0.64,109,1575,587,1216,1301,0.90,0.85,"KO — your core was destroyed"
SPIN_ALU,chargenorev,mauler,Veteran,PlayerLoss,73.4,68,166,9/10,0.86,0.90,166,68,10/11,0.91,0.91,20.0,29.9,0.0,0.00,300,0.0,0.54,137,1575,694,1216,864,0.90,1.00,"Counted out — out of power — all 300 kJ spent in 63 s; carry more battery, or spend less on driving and spinning"
SPIN_ALU,chargenorev,scout,Rookie,PlayerWin,90.1,153,53,9/10,0.96,0.90,53,153,9/11,0.70,0.82,36.4,46.3,0.0,0.00,300,0.0,0.66,103,1575,406,1216,652,0.90,1.00,"Judges' decision — damage 153 vs 53 (65.1% margin) · pieces 9/10 vs 9/11 — decided on damage"
SPIN_ALU,chargenorev,widowmaker,Champion,PlayerLoss,52.9,151,1012,3/10,0.71,0.30,1012,151,10/11,0.88,0.91,0.0,0.0,0.0,0.33,200,0.0,0.39,183,1575,587,1216,1301,0.90,1.00,"Counted out — every one of its 4 wheels had been torn off — nothing left to drive with"
USER,afk,mauler,Veteran,PlayerLoss,90.0,62,241,8/11,0.79,0.73,241,62,10/11,0.92,0.91,43.5,43.5,0.0,0.00,23,0.0,0.44,168,576,694,741,864,2.70,0.00,"Judges' decision — damage 62 vs 241 (74.1% margin) · pieces 8/11 vs 10/11 — decided on damage"
USER,afk,scout,Rookie,PlayerWin,60.5,178,47,11/11,0.94,1.00,47,178,9/11,0.87,0.82,0.0,0.0,0.0,0.86,33,0.0,0.79,63,576,406,741,652,2.70,0.00,"Enemy counted out — beached — 0 of 4 wheels touching the ground, so the drive had nothing to push on"
USER,afk,widowmaker,Champion,PlayerLoss,58.9,0,1134,0/11,0.00,0.00,1134,0,11/11,1.00,1.00,7.4,7.4,0.0,0.00,25,0.0,0.36,193,576,587,741,1301,2.70,0.00,"KO — your core was destroyed"
USER,charge,mauler,Veteran,PlayerLoss,37.5,0,39,9/11,0.94,0.82,39,0,10/11,1.00,0.91,32.0,32.0,0.0,0.00,18,0.0,0.78,65,576,694,741,864,2.70,0.76,"Counted out — flipped onto its back — the emergency struts could not roll a hull this shape back over; a gyro rights you in under a second"
USER,charge,scout,Rookie,PlayerLoss,19.3,0,0,9/11,1.00,0.82,0,0,10/11,1.00,0.91,13.5,13.5,0.0,0.00,20,0.0,0.94,18,576,406,741,652,2.70,0.88,"Counted out — flipped onto its back — the emergency struts could not roll a hull this shape back over; a gyro rights you in under a second"
USER,charge,widowmaker,Champion,PlayerLoss,13.6,0,596,0/11,0.00,0.00,596,0,11/11,1.00,1.00,8.1,8.1,0.0,0.00,18,0.0,0.80,59,576,587,741,1301,2.70,0.77,"KO — your core was destroyed"
USER,chargenorev,mauler,Veteran,PlayerLoss,90.1,42,80,9/11,0.86,0.82,80,42,10/11,0.95,0.91,0.0,0.0,0.0,0.33,160,0.0,0.43,172,576,694,741,864,2.70,1.00,"Judges' decision — damage 42 vs 80 (47.1% margin) · pieces 9/11 vs 10/11 — decided on damage"
USER,chargenorev,scout,Rookie,PlayerLoss,29.9,0,44,9/11,0.99,0.82,44,0,9/11,1.00,0.82,12.0,12.0,0.0,0.00,43,0.0,0.91,28,576,406,741,652,2.70,1.00,"Counted out — out of power — 240 kJ of its 240 kJ pack was torn off the chassis, and what was left ran dry after 20 s"
USER,chargenorev,widowmaker,Champion,PlayerLoss,67.1,0,600,5/11,1.00,0.45,600,0,10/11,1.00,0.91,13.3,13.3,0.0,0.00,99,0.0,0.31,207,576,587,741,1301,2.70,1.00,"Counted out — beached — 0 of 1 wheels touching the ground, so the drive had nothing to push on"
#DONE 27 in 1643s
